fips,intercept,SP,unemployment,mortgage_rates,ind_prod,labor_force,arima_error
6037,0.071425921,0.022119605,0.006427046,0.022609305,-0.015523508,-0.00116015,0.020556444
17031,0.035011318,0.009551464,0.004176321,0.017610257,0.000394173,-0.009539514,0.025491414
48201,0.056889742,0.011000045,-0.009829595,0.006676809,-0.005087157,-0.009986689,0.019787938
4013,0.098795228,0.009151031,0.003503746,0.009325802,-0.000367943,-0.041743161,0.021159114
6073,0.069613893,0.019391912,-0.011116881,0.017233584,-0.026832771,-0.021632151,0.000158001
6059,0.058323004,0.021054742,-0.010714658,0.023228124,-0.028834767,-0.016944661,0.002663283
36047,0.057312786,0.00427276,-0.007727617,0.012926323,-0.006773504,0.00331537,0.011423271
12086,0.08044904,0.013289652,0.019813652,0.022598183,-0.006512833,0.006650622,0.007999148
48113,0.075066634,0.000694408,-0.023846664,0.010042977,-0.009428902,-0.002181045,0.063184064
36081,0.054103321,0.000781826,-0.010562622,0.014639701,-0.003315656,-0.004625829,0.014835579
6065,0.075360295,0.02603498,0.012607072,0.025111027,-0.005071547,-0.008408348,0.014665694
6071,0.089227824,0.030559734,0.022378747,0.030165289,0.001335407,-0.004668574,0.018620317
32003,0.102234908,0.032599571,-0.010509407,0.054584627,-0.007692397,-0.027028663,0.003808349
53033,0.08965432,0.016094502,-0.046519533,0.020504359,-0.051131733,-0.021972848,0.045860521
26163,0.108535102,0.023918557,0.012914628,0.025405675,0.005716568,0.003979587,0.020105358
48439,0.070844626,0.004771998,-0.028633313,0.003335174,-0.014957035,-0.007440447,0.049269061
6085,0.091454327,0.028032728,0.020129602,0.036026206,-0.016180705,-0.009195437,0.010867131
12011,0.079741332,0.020896287,0.004390072,0.020111378,-0.010794713,0.002515654,0.011090158
48029,0.051347747,0.001934072,-0.017093876,-0.000720853,-0.005496169,-0.005159752,0.008810123
36061,0.032732247,0.003293018,0.01495715,0.024230986,-0.006380642,0.02035716,0.000639244
42101,0.043073028,-0.005691608,0.004013814,-0.000560019,0.029994495,-0.000994912,0.046798472
6001,0.09660611,0.025711414,-0.004560348,0.045322747,-0.037393168,-0.007605986,0.015240884
25017,0.048091308,0.011104738,-0.003227031,0.00853905,-0.00305207,-0.004056879,0.005342996
36103,0.026045556,0.002525362,0.000882923,-4.80E-05,0.014793507,-0.015703784,0.036182559
6067,0.097480812,0.028105279,-0.010706279,0.034414135,-0.028875682,-0.029533268,0.01250376
36005,0.056238761,-0.007581676,-0.00722245,0.002747056,0.006767965,-0.001653438,-0.00069041
36059,0.034649712,0.001984,-0.006669179,0.006710889,0.004760363,-0.009637853,0.023913688
12099,0.07413721,0.018257784,-0.002636648,0.014855935,-0.014245828,0.007018394,0.025184293
39035,0.039638406,-0.001787612,0.01908204,-0.005151088,0.029576413,0.002529511,0.030955784
12057,0.077249917,0.017346056,-0.02189711,0.013503922,-0.023594037,-0.007155796,0.009701051
42003,0.042477135,-0.005863867,-0.000456006,-0.004925569,0.009221654,-0.012968162,0.016095543
26125,0.076350308,0.019363264,0.033779985,0.012238285,0.004143186,0.025220098,0.000527164
39049,0.059689446,0.00129596,0.002904145,-0.0009883,0.018693318,0.004093255,0.038283803
27053,0.058843978,0.014579694,0.000625777,0.008878594,-0.002250536,-0.000816999,-0.019872136
12095,0.087848902,0.020737655,-0.016340838,0.025886209,-0.027363544,-0.012999046,-0.000296031
51059,0.031764809,0.009822043,0.012873094,-0.003263237,0.006249464,0.00238178,0.003098849
6013,0.091094499,0.033822953,0.030663892,0.03588026,-0.004141922,0.008514614,0.082169776
49035,0.07954434,0.00909068,-0.003973197,0.005687678,-0.004047824,0.00357807,-0.003108571
48453,0.070444782,0.00978414,-0.001812169,-0.002167972,-0.00473401,-0.005229137,0.032316667
29189,0.03567413,0.005048382,-0.011500721,-0.003710156,0.007337457,-0.008868123,0.009207102
4019,0.057122757,0.015994864,0.008493347,-0.004636691,0.013996983,-0.000991611,0.056689799
24031,0.024386037,0.01257271,0.00991059,0.007739316,0.005445733,-0.007513755,0.000386742
36119,0.018014827,0.00916472,-0.003767912,0.00368734,0.002131161,-0.011326003,0.003207206
55079,0.053175585,0.010869936,0.001974076,0.008334323,0.013843181,0.013633895,0.147524437
6019,0.075375919,0.019629894,0.007218748,0.015191259,-0.002445997,-0.0050337,0.014646795
47157,0.051452511,0.003152964,0.000304046,-0.006030029,0.020612549,0.003366802,0.052294518
13121,0.069280181,0.012046081,-0.027497892,0.018811594,-0.021173996,-0.017126191,0.004060508
37119,0.063316044,0.008222635,-0.036160764,0.01056026,-0.019497155,-0.021608363,0.002951784
36029,0.044310859,0.004588697,0.00218333,-0.004828443,0.01377452,-0.003344401,0.049566175
17043,0.030958432,0.014244926,0.003088384,0.014317275,-0.001048789,-0.003416072,0.007249424
9001,0.011445959,0.004412361,0.007118067,0.001786026,0.013184452,-0.009604847,0.003048122
12103,0.083324794,0.009164146,-0.033562234,0.008783228,-0.02510118,-0.01724505,0.006349109
34003,0.022334643,-5.18E-05,0.007312552,0.002229355,0.008485077,-0.014558214,-0.00239536
18097,0.061652157,0.008267684,0.002075232,-0.001756139,0.020707157,0.001985672,0.036411846
37183,0.044139916,0.002912004,-0.023356424,0.005062926,-0.011242622,-0.011387559,0.002804808
9003,0.010206123,0.011501605,-0.010323667,-0.005323767,0.00402629,-0.009192871,0.046269617
12031,0.068242886,0.020012598,-0.034132121,0.015508737,-0.017735793,-0.016476224,0.004069151
24033,0.056430931,0.016349644,0.006413651,0.010550076,0.004046692,-0.000321596,0.028281103
9009,0.012197685,0.010636989,-0.009803016,-0.006789526,0.020615005,-0.020090167,0.061486265
26099,0.083927446,0.030702133,0.026982068,0.014514361,0.008574358,0.015556626,0.006503647
6029,0.074940935,0.031286427,0.022313198,0.016167811,0.002252708,-0.000893759,0.009977653
6111,0.056337363,0.024280443,-0.006149656,0.03121827,-0.019816063,-0.020574648,0.001379733
34023,0.025129914,0.009814531,0.00314175,0.004181257,0.014912799,-0.016609866,-0.001131277
13135,0.081307608,0.022587459,0.003574127,0.022289853,-0.004072435,-0.008790547,0.010577887
6075,0.084061823,0.009390799,0.005260499,0.03466394,-0.02208536,0.010744983,0.038542455
24005,0.019432132,0.007935857,-0.013055856,0.00949429,-0.000817818,-0.019876731,0.000570773
39061,0.043290142,0.00075328,0.004944618,-0.009067942,0.014654816,0.019560744,0.039384526
48141,0.016568024,0.000439169,0.006902104,-0.011637474,0.018206855,0.005832775,0.025424159
42091,0.023213632,-0.000795806,-0.006145175,0.002322419,0.007742167,-0.018546504,0.011076752
25027,0.041371129,0.01069902,-0.000303719,0.002309858,0.01276817,-0.013657893,0.020824477
53053,0.082854037,0.012632568,-0.007881855,0.000411396,0.004685615,0.010302418,0.134694559
34013,0.03332258,-0.000535268,0.007786846,-0.0056881,0.024647987,-0.011803722,0.014562565
48085,0.059728123,0.005023102,-0.005730699,0.001029131,-0.022881006,0.020394161,0.019906158
48215,0.049555614,0.000747489,0.012680999,-0.001346145,0.013179127,0.002531203,0.001467469
36055,0.033093937,-0.013340045,-0.006490272,-0.018230715,0.002074099,-0.015042785,0.002101851
25009,0.047613025,0.009211514,0.001814041,0.012720818,0.004312826,-0.012678682,0.007760681
21111,0.04083356,0.005555275,-0.011622017,-0.000285725,-0.003025826,-0.005560702,0.033831226
41051,0.074587341,0.009915654,-0.029425653,0.000188869,-0.042176649,0.013863769,0.012060861
25025,0.068134742,0.006435328,-0.012994047,0.013466205,-0.018766711,-0.000224569,0.009551091
40109,0.03194599,0.00387456,0.010602427,-0.012735528,0.015306265,-0.00420773,6.55E-05
6081,0.091510453,0.016711999,-0.017037298,0.042434059,-0.042373373,-0.006875649,0.008515345
53061,0.090681083,0.020940295,-0.01689563,0.01591979,-0.024894131,-0.002363918,0.006871768
17097,0.026180097,0.01671976,-0.004110962,0.010826328,-0.000928723,-0.004175141,0.03145364
13089,0.081259614,0.015302299,-0.034533437,0.020964019,-0.017931349,-0.022252099,0.005364302
13067,0.066392644,0.011517439,-0.003077838,0.01097212,-0.004675751,-0.003433841,0.002594472
6077,0.107560846,0.039225976,0.020975457,0.04056196,-0.009891855,-0.002239784,0.014295055
